Usertype,Month,Tripduration
Customer,Jan,571
Customer,Jan,93
Customer,Jan,114
Customer,Jan,1791
Subscriber,Jan,119
Subscriber,Jan,2258
Customer,Jan,95871
Subscriber,Jan,252
Subscriber,Jan,618
Customer,Jan,59734
Subscriber,Jan,6936
Customer,Jan,7717
Subscriber,Jan,70203
Customer,Jan,12572
Subscriber,Jan,366
Customer,Jan,1114
Customer,Feb,451
Customer,Feb,426
Customer,Feb,23723
Customer,Feb,5277
Customer,Feb,91005
Customer,Feb,62480
Subscriber,Feb,2908
Subscriber,Feb,3114
Subscriber,Feb,784
Subscriber,Feb,314
Subscriber,Feb,590
Customer,Feb,2014
Subscriber,Feb,65525
Subscriber,Feb,703
Subscriber,Feb,1054
Subscriber,Feb,584
Subscriber,Feb,782
Subscriber,Feb,555
Subscriber,Feb,1718
Subscriber,Feb,628
Subscriber,Feb,135304
Subscriber,Feb,3675
Subscriber,Feb,440
Subscriber,Feb,517
Subscriber,Feb,306
Subscriber,Feb,2556
Subscriber,Feb,2188
Subscriber,Feb,531
Subscriber,Feb,1422
Subscriber,Feb,1056
Subscriber,Feb,302
Subscriber,Feb,346
Subscriber,Feb,434
Subscriber,Feb,1196
Subscriber,Feb,273
Subscriber,Feb,852
Subscriber,Feb,611
Customer,Feb,1219
Customer,Feb,324
Subscriber,Feb,281
Subscriber,Feb,529
Subscriber,Feb,88676
Subscriber,Feb,656
Subscriber,Feb,1384
Subscriber,Feb,374
Subscriber,Feb,445
Subscriber,Feb,170
Customer,Feb,2443
Subscriber,Feb,8626
Subscriber,Feb,662
Subscriber,Feb,367
Subscriber,Feb,419
Customer,Feb,332
Subscriber,Feb,553
Subscriber,Feb,238
Subscriber,Feb,577
Subscriber,Feb,769
Subscriber,Feb,150
Subscriber,Feb,439
Subscriber,Feb,313
Subscriber,Feb,570
Customer,Feb,81574
Customer,Feb,180
Subscriber,Feb,210
Subscriber,Feb,519
Subscriber,Feb,907
Customer,Feb,75367
Subscriber,Feb,518
Customer,Feb,77429
Customer,Feb,986
Customer,Feb,284
